,Black Total Pop,Population Total,White Population Total,Zip,Percentage Black Residents,Percentage POC Residents,Percentage White Residents,% of Home Purchases by Investors,% of Low-Priced Homes Purchased by Investors,Time Period
0,612,18948,16463,01742,0.03229892336922103,0.13114840616423895,0.868851593835761,0.1017309,0.14761903333333334,2005-2009
1,154,14008,13307,01746,0.010993717875499714,0.050042832667047454,0.9499571673329525,0.06248976666666667,0.1275974,2005-2009
2,185,15604,14418,01748,0.011855934375801076,0.07600615226864904,0.923993847731351,0.06048104000000001,0.09304978,2005-2009
3,1034,19464,17652,01749,0.05312371557747637,0.09309494451294698,0.906905055487053,0.078702675,0.11272090000000001,2005-2009
4,4439,39141,31222,01752,0.11341049027873586,0.20231981809355915,0.7976801819064409,0.07586786,0.09321522,2005-2009
5,553,10314,9092,01754,0.05361644366879969,0.11847973628078345,0.8815202637192165,0.07428653333333333,0.10235336666666667,2005-2009
6,1168,28391,24385,01757,0.041139797823253846,0.14110105315064636,0.8588989468493536,0.05652374,0.07763738,2005-2009
7,642,34043,29431,01760,0.018858502482154923,0.1354757218811503,0.8645242781188497,0.06169381999999999,0.11093128000000001,2005-2009
8,86,18197,16180,01776,0.004726053745122823,0.11084244655712483,0.8891575534428752,0.08682909999999999,0.182539675,2005-2009
9,191,13421,11675,01778,0.014231428358542582,0.13009462782206993,0.8699053721779301,0.06669884,0.1290909,2005-2009
10,2106,39315,33660,01801,0.05356734070965281,0.14383822968332693,0.8561617703166731,0.05435376000000001,0.08354075999999999,2005-2009
11,1098,25190,20137,01803,0.043588725684795555,0.20059547439460101,0.799404525605399,0.0566546,0.11823344,2005-2009
12,773,34251,28758,01810,0.02256868412601092,0.16037487956556018,0.8396251204344398,0.060554760000000006,0.11658168,2005-2009
13,528,31157,28585,01821,0.016946432583368105,0.08254966781140671,0.9174503321885933,0.06932282,0.16109828,2005-2009
14,133,25582,23043,01824,0.005198968024392151,0.09924947228520054,0.9007505277147995,0.04930622,0.07432458,2005-2009
15,911,30315,26824,01826,0.03005112980372753,0.1151575127824509,0.8848424872175491,0.06600236,0.08011462,2005-2009
16,906,26415,21614,01830,0.03429869392390687,0.1817527919742571,0.8182472080257429,0.07868926000000001,0.08304898000000001,2005-2009
17,963,22137,18268,01832,0.04350182951619461,0.1747752631341194,0.8252247368658806,0.05104905,0.05325479999999999,2005-2009
18,543,13217,11833,01835,0.04108345312854657,0.10471362639025494,0.8952863736097451,0.0786482,0.10628976666666667,2005-2009
19,4219,47125,16965,01841,0.08952785145888593,0.64,0.36,0.079947475,0.0814848,2005-2009
20,1883,25440,10447,01843,0.07401729559748428,0.5893474842767296,0.41065251572327044,0.1032609,0.1052632,2005-2009
21,1872,48159,38145,01844,0.038871239020743784,0.20793621130006856,0.7920637886999314,0.05690272,0.06717063999999999,2005-2009
22,721,28963,25433,01845,0.024893830059040844,0.12187963954010284,0.8781203604598972,0.056525099999999995,0.047105619999999994,2005-2009
23,1676,16198,10606,01850,0.10346956414372145,0.3452278059019632,0.6547721940980368,0.1213503,0.11475935000000001,2005-2009
24,2640,30379,13187,01851,0.08690213634418513,0.5659172454656176,0.43408275453438233,0.08741914999999999,0.083272525,2005-2009
25,2777,32735,20957,01852,0.08483274782343057,0.3597983809378341,0.6402016190621659,0.06811779999999999,0.065204,2005-2009
26,1952,29214,17168,01854,0.06681727938659547,0.4123365509687136,0.5876634490312864,0.09638733333333332,0.0903175,2005-2009
27,139,15249,13780,01864,0.00911535182634927,0.09633418584825237,0.9036658141517476,0.076468925,0.10919505,2005-2009
28,234,24687,23084,01867,0.009478672985781991,0.06493296066755783,0.9350670393324422,0.04732054,0.06707648,2005-2009
29,698,29103,27245,01876,0.023983781740714017,0.06384221557914993,0.9361577844208501,0.05492992,0.09306166,2005-2009
30,150,11867,10856,01879,0.012640094379371365,0.08519423611696297,0.914805763883037,0.05304483333333334,0.07339783333333333,2005-2009
31,253,25460,24069,01880,0.009937156323644933,0.05463472113118617,0.9453652788688138,0.03668474,0.06419134,2005-2009
32,128,22854,18764,01886,0.00560077010588956,0.17896210728975237,0.8210378927102476,0.057893749999999994,0.1038449,2005-2009
33,346,22907,21189,01887,0.015104553193347012,0.07499890863054959,0.9250010913694504,0.070394275,0.22822780000000004,2005-2009
34,253,21863,18803,01890,0.011572062388510268,0.1399624937108357,0.8600375062891643,0.06347003333333333,0.040322133333333336,2005-2009
35,8052,46119,21418,01902,0.17459181682170039,0.5355927058262322,0.46440729417376786,0.10040498000000002,0.09275564,2005-2009
36,1640,18053,14602,01904,0.09084362709798925,0.19115936409461032,0.8088406359053897,0.10124269999999999,0.09757235,2005-2009
37,4820,25269,12585,01905,0.19074755629427362,0.5019589219992877,0.49804107800071235,0.06671984,0.0649393,2005-2009
38,709,27369,25444,01906,0.02590522123570463,0.0703350506046988,0.9296649493953012,0.04925915,0.03147045,2005-2009
39,192,14123,13472,01907,0.013594845287828365,0.046095022304043054,0.953904977695957,0.034412899999999996,0.0498646,2005-2009
40,601,16554,15553,01913,0.03630542467077443,0.060468768877612655,0.9395312311223873,0.042634775,0.060466400000000003,2005-2009
41,854,40370,38011,01915,0.021154322516720336,0.058434481050284814,0.9415655189497152,0.03785590000000001,0.05118876,2005-2009
42,521,26963,25389,01923,0.019322775655527945,0.0583762934391574,0.9416237065608426,0.03398258,0.06648393999999999,2005-2009
43,409,29237,28054,01930,0.013989123371070904,0.040462427745664775,0.9595375722543352,0.042014039999999996,0.028308680000000003,2005-2009
44,84,13480,13208,01938,0.006231454005934718,0.020178041543026715,0.9798219584569733,0.030995833333333334,0.06136176666666667,2005-2009
45,185,12704,11839,01940,0.014562342569269521,0.06808879093198994,0.9319112090680101,0.0593261,0.20634916666666667,2005-2009
46,141,20163,19616,01945,0.006993006993006993,0.027128899469324952,0.972871100530675,0.06543376666666667,0.12386526666666665,2005-2009
47,132,17662,17048,01950,0.007473672290793794,0.03476389989808626,0.9652361001019137,0.051628175,0.06897385,2005-2009
48,1653,51597,45849,01960,0.032036746322460605,0.11140182568753998,0.88859817431246,0.035820175,0.054384550000000004,2005-2009
49,3574,42151,33918,01970,0.08479039643187587,0.19532158193162674,0.8046784180683733,0.0371583,0.042281099999999995,2005-2009
50,172,16564,15676,02019,0.010383965225790872,0.053610239072687804,0.9463897609273122,0.0712791,0.06792715,2005-2009
51,1566,22036,18644,02021,0.07106552913414413,0.1539299328371755,0.8460700671628245,0.06415242,0.09398047999999999,2005-2009
52,1605,25111,21672,02026,0.06391621201863724,0.1369519334156346,0.8630480665843654,0.0482206,0.08289450000000001,2005-2009
53,336,17129,16017,02035,0.01961585615038823,0.06491914297390389,0.9350808570260961,0.06464422,0.07929652000000001,2005-2009
